name,Team Ranking,Kills,Assists,Mobility (Driving),Mobility (Walking),DPS,Survival Time
Sprayer90,84,0,0,0,0.28251717,0,118.375
JiLiaoDeYuXiang,89,0,0,0,0,0,133.472
spocksyourdaddy,10,1,0,2.533495118,1.060402633,0.071027254,1647.255
JH-Han,63,1,0,0,0.766660374,0.391878706,255.181
xiejuntao,80,0,0,0,0.924733642,0,166.633
GRazzleDazzle,42,0,0,2.270001841,1.748243622,0.155432113,418.189
APL2012,37,3,0,0,1.385444154,0.259274744,925.659
Blackout0911,31,1,0,3.258934502,1.786159227,0.203905201,961.231
Iceman666666,38,0,0,5.315769226,0.690347438,0.00208509,959.191
sadasfd,21,1,0,0.480308485,3.045293531,0.167185928,1082.627
cadhantrain,82,0,0,0,0.239910484,0,125.769
GhosT-SaoHao,74,0,0,0,0.795798482,0,184.758
Lumberjackel,12,0,0,4.536467046,2.363956057,0,1507.693
jyosh,95,0,0,0,0,0,142.011
Mr-0left,21,0,0,1.500339938,1.537496133,0.060375806,1341.597
WmhisGod,78,0,0,0,1.020191042,0.260630465,153.474
Laoganmafood,62,0,0,3.778353725,1.506099081,0,235.101
wangjiarv,1,2,1,0,1.660273339,0.161600612,1881.181
TheHoeBeater,75,0,0,0,0.183299973,0.678790175,126.696
FFFuckh1z1,94,0,0,0,0.051080968,0.606783197,93.938
mattd0estuff,52,0,0,1.372795747,2.049190366,0,642.043
GuoM,1,9,0,2.765428704,1.342703507,0.494241604,1869.531
woshihuanren,12,8,0,1.314630774,2.106492107,0.503715139,1562.391
so_sorry_666,58,1,1,0,0.91951425,0.376021506,428.167
Brains,74,0,0,0,1.034930823,0,223.037
anglesYY,37,1,0,0.433244344,2.53886917,0.187402912,885.792
secd993,15,0,0,0,2.167982582,0,1402.679
DMR1135,95,0,0,0,0.445046922,0,102.191
Gigantorr,51,0,0,0,1.871764047,0.036268392,634.161
KageTheMage,25,2,0,0,2.985193012,0.154118959,1154.952
gkffd,55,0,0,0,1.627623076,0.141685055,381.127
Quxiaonan,62,1,0,0,0.56190128,0.440516991,227.006
Erlca,18,1,0,2.890844801,1.61785744,0.091841682,1404.591
CJCasper,89,0,0,0,0.053498109,0,114.774
wikywiky,6,0,0,2.29229894,1.853546143,0,1623.544
AI--11,72,0,0,0,1.602858489,0,221.637
JayKidman,1,6,1,1.490264355,1.116341817,0.299669701,1811.995
DoDoDollars,21,0,0,2.014197542,2.003856525,0.017057411,1289.762
KILLBEROS_Scar,75,1,0,0,0.443590481,0.706291035,138.753
SirMrMcmuffin,31,2,1,0,1.996981459,0.343946823,1043.766
joker-role,77,0,0,0,1.808219964,0,169.973
DisBeSkipZ,16,3,0,0.405905874,1.867197164,0.070491845,1489.534
PhysiksMia,80,0,0,0,0.355212424,0,607.214
Odanskii,66,0,0,0,0.300875222,0,215.831
Dongxuan888,6,1,0,0,2.453677843,0.056193587,1850.745
shawanyia09,93,0,0,0,0.179316319,0,76.378
Whit3-Ros3,84,0,0,0,0.402347306,0,124.006
YLLYA,22,2,0,3.380240229,1.287753422,0.187725308,1337.06
woai5488464,48,2,0,0,0.870340087,0.465711469,476.69
